Host_protein	Pathogen_Protein	Host_taxid	Pathogen_taxid	Pathogen_category
P07900	P38768	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q969H0	Q91LX9	taxid:9606(human|Homo sapiens)	taxid:37296(hhv8|Human herpesvirus 8 (HHV-8))	VIRUS
Q969H0	Q91LX9	taxid:9606(human|Homo sapiens)	taxid:37296(hhv8|Human herpesvirus 8 (HHV-8))	VIRUS
Q969H0	Q91LX9	taxid:9606(human|Homo sapiens)	taxid:37296(hhv8|Human herpesvirus 8 (HHV-8))	VIRUS
Q969H0	Q4UG71	taxid:9606(human|Homo sapiens)	taxid:5874(thean|Theileria annulata)	PROTOZOA
Q969H0	Q91LX9	taxid:9606(human|Homo sapiens)	taxid:37296(hhv8|Human herpesvirus 8 (HHV-8))	VIRUS
Q96QK1	P40335	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P63279	P03243-1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P36507	P31498	taxid:9606(human|Homo sapiens)	taxid:273123(yerps|Yersinia pseudotuberculosis serotype I)	BACTERIA
O43521	P03182	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
P01857	P04488	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
P01857	P04488	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
P33176	Q8ZMM8	taxid:9606(human|Homo sapiens)	taxid:99287(salty|Salmonella typhimurium)	BACTERIA
P62837	A0A0H2USG1	taxid:9606(human|Homo sapiens)	taxid:623(shifl|Shigella flexneri)	BACTERIA
P62837	Q5X159	taxid:9606(human|Homo sapiens)	taxid:297246(legpa|Legionella pneumophila (strain Paris))	BACTERIA
P62837	Q8VSC3	taxid:9606(human|Homo sapiens)	taxid:623(shifl|Shigella flexneri)	BACTERIA
Q8WUM4	Q90VU7	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q8WUM4	Q90VU7	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q8WUM4	Q88019	taxid:9606(human|Homo sapiens)	taxid:11723(siv|Simian immunodeficiency virus)	VIRUS
Q8WUM4	O90156	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q8WUM4	P26806	taxid:9606(human|Homo sapiens)	taxid:11797(mlvff|Friend murine leukemia virus (isolate FB29))	VIRUS
Q8WUM4	EBI-15621073	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q8WUM4	NP_579881	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q8WUM4	Q306M3	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q8WUM4	Q90VU7	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
P52272	P38217	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P30153	P03081	taxid:9606(human|Homo sapiens)	taxid:1891767(sv40|sv40)	VIRUS
P30153	P03081	taxid:9606(human|Homo sapiens)	taxid:1891767(sv40|sv40)	VIRUS
P30153	P03081	taxid:9606(human|Homo sapiens)	taxid:1891767(sv40|sv40)	VIRUS
P61586	Q6XW05	taxid:9606(human|Homo sapiens)	taxid:623(shifl|Shigella flexneri)	BACTERIA
P60709	Q93KQ6	taxid:9606(human|Homo sapiens)	taxid:630(yeren|Yersinia enterocolitica)	BACTERIA
P60709	Q8I2J4	taxid:9606(human|Homo sapiens)	taxid:36329(plaf7|Plasmodium falciparum (isolate 3D7))	PROTOZOA
P60842	D3YRZ7	taxid:9606(human|Homo sapiens)	taxid:311339(hcmvo|hcmvo)	VIRUS
P60842	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
Q9GZQ8	P40344	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q9GZQ8	P38862	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q9GZQ8	P40344	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q9GZQ8	P38862	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P61088	Q8VSD5	taxid:9606(human|Homo sapiens)	taxid:623(shifl|Shigella flexneri)	BACTERIA
P61088	Q8VSD5	taxid:9606(human|Homo sapiens)	taxid:623(shifl|Shigella flexneri)	BACTERIA
P17844	Q6VGT1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P17844	P04618	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
Q12906	P08325	taxid:9606(human|Homo sapiens)	taxid:11283(vsnjo|vsnjo)	VIRUS
Q12906	A6H4P0	taxid:9606(human|Homo sapiens)	taxid:11276(vesicular stomatitis virus|Vesicular stomatitis virus)	VIRUS
Q12906	P08325	taxid:9606(human|Homo sapiens)	taxid:11283(vsnjo|vsnjo)	VIRUS
P07910	A6H4P0	taxid:9606(human|Homo sapiens)	taxid:11276(vesicular stomatitis virus|Vesicular stomatitis virus)	VIRUS
P07910	P08325	taxid:9606(human|Homo sapiens)	taxid:11283(vsnjo|vsnjo)	VIRUS
P35637	P38217	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P61923	P15917	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
Q9Y676	P03204	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
Q9Y676	P03204	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
Q9Y676	P03204	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
Q9Y676	P03204	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
Q9Y676	P03204	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
P07737	P07830	taxid:9606(human|Homo sapiens)	taxid:44689(dicdi|Dictyostelium discoideum (Slime mold))	AMOEBOZOA
P07737	P07830	taxid:9606(human|Homo sapiens)	taxid:44689(dicdi|Dictyostelium discoideum (Slime mold))	AMOEBOZOA
P07737	P07830	taxid:9606(human|Homo sapiens)	taxid:44689(dicdi|Dictyostelium discoideum (Slime mold))	AMOEBOZOA
P07737	P60010	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q13153	Q5PP90	taxid:9606(human|Homo sapiens)	taxid:10345(pseudorabies virus|pseudorabies virus)	VIRUS
Q13153	Q5PP90	taxid:9606(human|Homo sapiens)	taxid:10345(pseudorabies virus|pseudorabies virus)	VIRUS
Q13148	P53297	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q9P0J0	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
P50570	O89293	taxid:9606(human|Homo sapiens)	taxid:388814(hv193|Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020))	VIRUS
P50570	Q9QPN3	taxid:9606(human|Homo sapiens)	taxid:290579(hv1la|Human immunodeficiency virus type 1 group M subtype B (isolate Lai))	VIRUS
P50570	O70903	taxid:9606(human|Homo sapiens)	taxid:388826(hv190|Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056))	VIRUS
P50570	Q88019	taxid:9606(human|Homo sapiens)	taxid:11723(siv|Simian immunodeficiency virus)	VIRUS
P50570	P03407	taxid:9606(human|Homo sapiens)	taxid:11685(hv1a2|Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2))	VIRUS
P50570	Q994M8	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
P50570	O41790	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
P05556	P55980	taxid:9606(human|Homo sapiens)	taxid:85962(helpy|Helicobacter pylori)	BACTERIA
Q7KZI7	P55980	taxid:9606(human|Homo sapiens)	taxid:85962(helpy|Helicobacter pylori)	BACTERIA
Q7KZI7	P55980	taxid:9606(human|Homo sapiens)	taxid:85962(helpy|Helicobacter pylori)	BACTERIA
Q7KZI7	P55980	taxid:9606(human|Homo sapiens)	taxid:85962(helpy|Helicobacter pylori)	BACTERIA
Q7KZI7	P55980	taxid:9606(human|Homo sapiens)	taxid:85962(helpy|Helicobacter pylori)	BACTERIA
O75586	P52286	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P62753	P0C6U8	taxid:9606(human|Homo sapiens)	taxid:694009(sars-cov|Human SARS coronavirus)	VIRUS
Q86VP6	Q6TVJ1	taxid:9606(human|Homo sapiens)	taxid:647330(orfsa|orfsa)	VIRUS
P11940	D3YRZ7	taxid:9606(human|Homo sapiens)	taxid:311339(hcmvo|hcmvo)	VIRUS
P11940	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
Q92608	EBI-7355238	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q92608	Q02840	taxid:9606(human|Homo sapiens)	taxid:31684(sivg1|sivg1)	VIRUS
Q92608	EBI-7355238	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q92608	EBI-7355238	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
O00459	Q82506	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
O00459	P03496	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
P52948	Q82506	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
P04406	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
P04406	Q7MWG4	taxid:9606(human|Homo sapiens)	taxid:242619(porgi|Porphyromonas gingivalis (strain ATCC BAA-308 / W83))	BACTERIA
P40337	P35963	taxid:9606(human|Homo sapiens)	taxid:362651(hv1y2|Human immunodeficiency virus type 1 group M subtype B (isolate YU-2) (HIV-1))	VIRUS
Q86V81	Q07478	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q86V81	Q99257	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P62269	P08393	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
P29590	P03243-1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P62805	P38890	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P62805	C4QZQ7	taxid:9606(human|Homo sapiens)	taxid:644223(picpg|Komagataella pastoris (strain GS115 / ATCC 20864))	FUNGI
P62805	Q582G4	taxid:9606(human|Homo sapiens)	taxid:185431(tryb2|Trypanosoma brucei brucei (strain 927/4 GUTat10.1))	PROTOZOA
P62805	C4QZ45	taxid:9606(human|Homo sapiens)	taxid:644223(picpg|Komagataella pastoris (strain GS115 / ATCC 20864))	FUNGI
P62805	Q582G4	taxid:9606(human|Homo sapiens)	taxid:185431(tryb2|Trypanosoma brucei brucei (strain 927/4 GUTat10.1))	PROTOZOA
P62805	C4QZQ7	taxid:9606(human|Homo sapiens)	taxid:644223(picpg|Komagataella pastoris (strain GS115 / ATCC 20864))	FUNGI
P62805	Q582G4	taxid:9606(human|Homo sapiens)	taxid:185431(tryb2|Trypanosoma brucei brucei (strain 927/4 GUTat10.1))	PROTOZOA
P35579	NP_044629	taxid:9606(human|Homo sapiens)	taxid:10298(hhv1|Human herpesvirus 1)	VIRUS
P49959	P03243-1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P49959	P03243-1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P61981	Q8AZK7	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
O14980	P04618	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
O14980	P04618	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
Q12959	Q6VGS8	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
Q12959	P36709	taxid:9606(human|Homo sapiens)	taxid:28282(ade12|Human adenovirus A serotype 12 (HAdV-12))	VIRUS
Q12959	P89079	taxid:9606(human|Homo sapiens)	taxid:10527(hadv-9|Human adenovirus D serotype 9)	VIRUS
Q12959	Q2Y0F1	taxid:9606(human|Homo sapiens)	taxid:45659(hadv-3|Human adenovirus B serotype 3)	VIRUS
Q12959	D4N3L3	taxid:9606(human|Homo sapiens)	taxid:46936(human adenovirus 36|Human adenovirus 36)	VIRUS
P15153	Q02840	taxid:9606(human|Homo sapiens)	taxid:31684(sivg1|sivg1)	VIRUS
P15153	EBI-7355238	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
Q12983	Q5ZSD5	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
Q12983	Q5ZSD5	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
P63172	P07567	taxid:9606(human|Homo sapiens)	taxid:11855(mpmv|Mason-Pfizer monkey virus (MPMV))	VIRUS
P63172	P07567	taxid:9606(human|Homo sapiens)	taxid:11855(mpmv|Mason-Pfizer monkey virus (MPMV))	VIRUS
Q03518	P03170	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
Q03518	P03170	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
Q03518	P03170	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
P04637	P03126	taxid:9606(human|Homo sapiens)	taxid:333760(hpv16|Human papillomavirus type 16)	VIRUS
P04637	P03243-1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P04637	P32776	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P04637	P02829	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P04637	Q9WYW0	taxid:9606(human|Homo sapiens)	taxid:243274(thema|Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099))	BACTERIA
P04637	P02829	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P04637	P02829	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P04637	P02829	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P04637	P03126	taxid:9606(human|Homo sapiens)	taxid:333760(hpv16|Human papillomavirus type 16)	VIRUS
P04637	P02829	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P04843	Q6VGT1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
O14734	P08393	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
P52630	Q77PU6	taxid:9606(human|Homo sapiens)	taxid:36351(hhv6z|Human herpesvirus 6B (strain Z29))	VIRUS
P52630	Q77PU6	taxid:9606(human|Homo sapiens)	taxid:36351(hhv6z|Human herpesvirus 6B (strain Z29))	VIRUS
O14672	P09616	taxid:9606(human|Homo sapiens)	taxid:1280(staau|Staphylococcus aureus)	BACTERIA
P51608	Q9QR71	taxid:9606(human|Homo sapiens)	taxid:868565(hhv8p|Human herpesvirus 8)	VIRUS
P43235	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
Q07866	Q8ZMM8	taxid:9606(human|Homo sapiens)	taxid:99287(salty|Salmonella typhimurium)	BACTERIA
Q07866	Q8ZMM8	taxid:9606(human|Homo sapiens)	taxid:99287(salty|Salmonella typhimurium)	BACTERIA
Q07866	Q8ZMM8	taxid:9606(human|Homo sapiens)	taxid:99287(salty|Salmonella typhimurium)	BACTERIA
Q07866	Q8ZMM8	taxid:9606(human|Homo sapiens)	taxid:99287(salty|Salmonella typhimurium)	BACTERIA
O14746	P03126	taxid:9606(human|Homo sapiens)	taxid:333760(hpv16|Human papillomavirus type 16)	VIRUS
O14746	P03126	taxid:9606(human|Homo sapiens)	taxid:333760(hpv16|Human papillomavirus type 16)	VIRUS
O14746	P03126	taxid:9606(human|Homo sapiens)	taxid:333760(hpv16|Human papillomavirus type 16)	VIRUS
Q9H3P7	Q5ZSD5	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
P60468	Q12154	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P60468	Q12154	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P60468	Q12154	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P78406	Q82506	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
Q9P0L0	Q5ZSD5	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
Q14318	Q5ZSD5	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
Q9H0U4	Q5ZWZ3	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
Q9H0U4	Q5ZWZ3	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
Q9H0U4	Q08484	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q9H0U4	Q5ZWZ3	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
P61106	Q08484	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
Q9BYX4	P69284	taxid:9606(human|Homo sapiens)	taxid:11195(sendf|Sendai virus (strain Fushimi))	VIRUS
Q9BYX4	P11207	taxid:9606(human|Homo sapiens)	taxid:11208(sv5|Simian virus 5 (strain W3))	VIRUS
Q9BYX4	P0C774	taxid:9606(human|Homo sapiens)	taxid:645098(measc|measles virus (strai)	VIRUS
P42336	Q2Y0F1	taxid:9606(human|Homo sapiens)	taxid:45659(hadv-3|Human adenovirus B serotype 3)	VIRUS
P42336	D4N3L3	taxid:9606(human|Homo sapiens)	taxid:46936(human adenovirus 36|Human adenovirus 36)	VIRUS
P42336	Q6VGS8	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P42336	P36709	taxid:9606(human|Homo sapiens)	taxid:28282(ade12|Human adenovirus A serotype 12 (HAdV-12))	VIRUS
P42336	P89079	taxid:9606(human|Homo sapiens)	taxid:10527(hadv-9|Human adenovirus D serotype 9)	VIRUS
P07858	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
P42768	P0DJ88	taxid:9606(human|Homo sapiens)	taxid:83334(eco57|Escherichia coli O157:H7)	BACTERIA
P42768	P0DJ88	taxid:9606(human|Homo sapiens)	taxid:83334(eco57|Escherichia coli O157:H7)	BACTERIA
P42768	P0DJ88	taxid:9606(human|Homo sapiens)	taxid:83334(eco57|Escherichia coli O157:H7)	BACTERIA
Q13546	B7UI21	taxid:9606(human|Homo sapiens)	taxid:574521(eco27|Escherichia coli O127:H6 (strain E2348/69 / EPEC))	BACTERIA
Q13546	B7UNX3	taxid:9606(human|Homo sapiens)	taxid:574521(eco27|Escherichia coli O127:H6 (strain E2348/69 / EPEC))	BACTERIA
Q13546	NP_289553	taxid:9606(human|Homo sapiens)	taxid:155864(escherichia coli o157:h7 str. edl933|Escherichia coli O157:H7 str. EDL933)	BACTERIA
Q13546	B7UI21	taxid:9606(human|Homo sapiens)	taxid:574521(eco27|Escherichia coli O127:H6 (strain E2348/69 / EPEC))	BACTERIA
